Timestamp,Почему вы решили искать работу за рубежом?,По каким критериям оцениваете предложения работы?,Насколько серьезно настроены на переезд?,На какой стадии ваши поиски?,Какие страны вы рассматриваете в первую очередь?,Куда точно НЕ хотели бы ехать?,Где вы живете сейчас?,Кем вы работаете?,Сколько вам лет?,Семейное положение
8/4/2016 10:54:13,Спокойная и безопасная жизнь для меня и семьи,"Страна, Количество денег на старте, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд)","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Польша, (Евросоюз в целом), (Прибалтика: Литва, Латвия, Эстония)",Азия,Киев,QA,26-27,"Холост / не замужем, детей нет"
8/4/2016 10:54:17,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Страна, Количество денег на старте, Насколько интересна вакансия (проект/компания) лично для меня",Твердо намерен уехать,Просматриваю вакансии,"Канада, США, (Евросоюз в целом)","Австралия, (Готов ехать куда угодно, если остальные условия устраивают)",(другая страна),Программист,меньше 23,Пара без детей
8/4/2016 10:54:25,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня",Твердо намерен уехать,Прохожу интервью / жду оффер,"Нидерланды, (Евросоюз в целом)",США,РФ (другой город),Программист,27-29,Пара без детей
8/4/2016 10:54:26,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,"Рассылаю резюме, интервью пока не было","Канада, США, (Евросоюз в целом)","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.)",Киев,Программист,26-27,Пара без детей
8/4/2016 10:54:28,"Спокойная и безопасная жизнь для меня и семьи, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Канада, Нидерланды, (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Австралия, Азия, Восточная Европа (Польша, Болгария, Венгрия и др.)",Украина (другой город),Программист,29-32,Пара без детей
8/4/2016 10:54:28,Спокойная и безопасная жизнь для меня и семьи,"Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Карьерные перспективы","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Великобритания, Нидерланды, США","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Москва,Тимлид или техлид,23-24,Пара с детьми
8/4/2016 10:54:30,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Страна, Количество денег на старте",Твердо намерен уехать,Прохожу интервью / жду оффер,"Германия, Нидерланды, (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Великобритания, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Киев,Программист,26-27,Пара без детей
8/4/2016 10:54:30,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы",Твердо намерен уехать,Просматриваю вакансии,"Великобритания, США, (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Австралия, Азия",РФ (другой город),Программист,24-26,"Холост / не замужем, детей нет"
8/4/2016 10:54:31,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Количество денег на старте, Насколько интересна вакансия (проект/компания) лично для меня","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,Нидерланды,"Азия, Прибалтика",Москва,Программист,24-26,Пара без детей
8/4/2016 10:54:32,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Германия, Польша, (Прибалтика: Литва, Латвия, Эстония)","Австралия, Азия",Киев,Программист,меньше 23,"Холост / не замужем, детей нет"
8/4/2016 10:54:32,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Страна, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Канада, Новая Зеландия, (Западная Европа)","Восточная Европа (Польша, Болгария, Венгрия и др.)",Украина (другой город),Менеджер,29-32,Пара с детьми
8/4/2016 10:54:33,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Страна, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы",Твердо намерен уехать,Просматриваю вакансии,"Канада, США, (Западная Европа)","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.)",Киев,QA,26-27,Пара без детей
8/4/2016 10:54:37,Хочется чего-то нового и интересного,"Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня","Готов ехать, если получу хорошее предложение","Рассылаю резюме, интервью пока не было","Канада, США, (Евросоюз в целом)","Азия, Прибалтика",Украина (другой город),Программист,23-24,"Холост / не замужем, детей нет"
8/4/2016 10:54:37,"Спокойная и безопасная жизнь для меня и семьи, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"США, (Евросоюз в целом), (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)",Азия,Санкт-Петербург,Программист,меньше 23,Пара без детей
8/4/2016 10:54:38,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Великобритания, Нидерланды, (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Азия, Прибалтика, США",Санкт-Петербург,Программист,26-27,"Холост / не замужем, детей нет"
8/4/2016 10:54:39,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"(Западная Европа), (Прибалтика: Литва, Латвия, Эстония), (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), США",Москва,Программист,27-29,"Холост / не замужем, детей нет"
8/4/2016 10:54:39,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи","Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Германия, США, (Западная Европа)","Восточная Европа (Польша, Болгария, Венгрия и др.)",Киев,QA,27-29,Пара без детей
8/4/2016 10:54:39,"Не вижу перспектив оставаться, Хочется чего-то нового и интересного, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Германия, США","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Украина (другой город),QA,24-26,"Холост / не замужем, детей нет"
8/4/2016 10:54:42,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность уехать побыстрее",Твердо намерен уехать,"Рассылаю резюме, интервью пока не было","Нидерланды, США, (Евросоюз в целом)",Азия,Москва,Менеджер,32 или больше,Пара с детьми
8/4/2016 10:54:42,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Страна, Количество денег на старте","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Великобритания, Канада, США",Азия,Киев,Программист,29-32,Пара с детьми
8/4/2016 10:54:43,Хочется чего-то нового и интересного,"Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"США, (Евросоюз в целом), (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)",Азия,Киев,Программист,меньше 23,Пара без детей
8/4/2016 10:54:43,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Страна, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы","Готов ехать, если получу хорошее предложение",Прохожу интервью / жду оффер,"Канада, США, (Западная Европа)",Азия,РФ (другой город),Программист,27-29,Пара без детей
8/4/2016 10:54:45,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Страна, Возможность получения долгосрочной визы / ВНЖ","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Великобритания, Нидерланды, (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Восточная Европа (Польша, Болгария, Венгрия и др.)",Харьков,Программист,23-24,"Холост / не замужем, детей нет"
8/4/2016 10:54:49,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Страна, Количество денег на старте, Насколько интересна вакансия (проект/компания) лично для меня",Твердо намерен уехать,Прохожу интервью / жду оффер,Германия,"Азия, Восточная Европа (Польша, Болгария, Венгрия и др.)",Москва,Программист,32 или больше,Пара без детей
8/4/2016 10:54:50,Хочется чего-то нового и интересного,"Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Австралия, Канада, (Евросоюз в целом)","Азия, Прибалтика",Львов,Программист,меньше 23,"Холост / не замужем, детей нет"
8/4/2016 10:54:51,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Количество денег на старте, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Австралия, Канада, США","Азия, Евросоюз, Прибалтика",Львов,Программист,27-29,"Холост / не замужем, детей нет"
8/4/2016 10:54:51,Спокойная и безопасная жизнь для меня и семьи,Возможность уехать побыстрее,Твердо намерен уехать,"Рассылаю резюме, интервью пока не было",США,"Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Киев,Программист,23-24,"Холост / не замужем, детей нет"
8/4/2016 10:54:52,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Количество денег на старте, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы",Твердо намерен уехать,Уже уехал,"Германия, (Евросоюз в целом), (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)",,Украина (другой город),Тимлид или техлид,29-32,Пара без детей
8/4/2016 10:54:54,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Германия, США",Азия,Киев,Тимлид или техлид,меньше 23,Пара без детей
8/4/2016 10:54:54,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"США, (Западная Европа), (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Харьков,Тимлид или техлид,29-32,Пара с детьми
8/4/2016 10:54:54,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)",Страна,Твердо намерен уехать,"Рассылаю резюме, интервью пока не было",США,"(Готов ехать куда угодно, если остальные условия устраивают)",Украина (другой город),Менеджер,29-32,Пара с детьми
8/4/2016 10:54:55,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Количество денег на старте, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы","Готов ехать, если получу хорошее предложение","Получил оффер, собираю документы","Канада, США, (Евросоюз в целом)","(Готов ехать куда угодно, если остальные условия устраивают)",Украина (другой город),Программист,26-27,Пара с детьми
8/4/2016 10:54:55,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Страна, Количество денег на старте, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд)","Готов ехать, если получу хорошее предложение","Рассылаю резюме, интервью пока не было","США, (Евросоюз в целом), (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Восточная Европа (Польша, Болгария, Венгрия и др.)",Львов,Программист,24-26,"Холост / не замужем, детей нет"
8/4/2016 10:54:57,"Не вижу перспектив оставаться, Хочется чего-то нового и интересного, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,Просматриваю вакансии,"Великобритания, Германия, Нидерланды","Австралия, Азия, США",РФ (другой город),Программист,23-24,"Холост / не замужем, детей нет"
8/4/2016 10:54:58,"Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд)","Готов ехать, если получу хорошее предложение",Прохожу интервью / жду оффер,"Германия, США, (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Великобритания, Прибалтика",Киев,Программист,27-29,"Холост / не замужем, детей нет"
8/4/2016 10:54:58,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.)","Страна, Количество денег на старте, Карьерные перспективы","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Германия, Канада, США","Австралия, Азия, Прибалтика",Украина (другой город),Программист,24-26,Пара без детей
8/4/2016 10:54:58,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Страна, Количество денег на старте, Карьерные перспективы","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Нидерланды, Новая Зеландия, США","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Киев,Программист,меньше 23,Пара без детей
8/4/2016 10:54:59,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Возможность безбедной жизни (свой дом, машина, накопления на пенсию)",Карьерные перспективы,Твердо намерен уехать,Просматриваю вакансии,"Великобритания, Польша, США",Азия,Киев,Менеджер,27-29,"Холост / не замужем, детей нет"
8/4/2016 10:54:59,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Хочется чего-то нового и интересного","Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Канада, (Евросоюз в целом), (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Азия, США",Львов,Программист,меньше 23,"Холост / не замужем, детей нет"
8/4/2016 10:55:01,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Хочется чего-то нового и интересного, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Количество денег на старте, Насколько интересна вакансия (проект/компания) лично для меня","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"США, (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","(Готов ехать куда угодно, если остальные условия устраивают)",(другая страна),Программист,32 или больше,Пара с детьми
8/4/2016 10:55:01,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ, Возможность уехать побыстрее",Твердо намерен уехать,Просматриваю вакансии,"Канада, США, (Западная Европа)",Азия,Украина (другой город),Программист,27-29,Пара без детей
8/4/2016 10:55:04,Спокойная и безопасная жизнь для меня и семьи,"Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Австралия, Германия, Канада","Азия, Прибалтика",Киев,Программист,меньше 23,"Холост / не замужем, детей нет"
8/4/2016 10:55:07,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Германия, США, (Евросоюз в целом)","Австралия, Азия",РФ (другой город),Программист,27-29,Пара без детей
8/4/2016 10:55:08,"Не вижу перспектив оставаться, Хочется чего-то нового и интересного, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Возможность получения долгосрочной визы / ВНЖ, Возможность уехать побыстрее",Твердо намерен уехать,Просматриваю вакансии,"Канада, США, (Евросоюз в целом)","(Готов ехать куда угодно, если остальные условия устраивают)",Санкт-Петербург,Программист,23-24,"Холост / не замужем, детей нет"
8/4/2016 10:55:08,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Количество денег на старте, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд)","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Австралия, Великобритания, США","Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Киев,Программист,24-26,"Холост / не замужем, детей нет"
8/4/2016 10:55:11,"Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Канада, (Западная Европа)","Восточная Европа (Польша, Болгария, Венгрия и др.)",РФ (другой город),Программист,меньше 23,"Холост / не замужем, детей нет"
8/4/2016 10:55:14,"Спокойная и безопасная жизнь для меня и семьи, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы","Готов ехать, если получу хорошее предложение","Рассылаю резюме, интервью пока не было","Германия, Канада, (Прибалтика: Литва, Латвия, Эстония)","Австралия, Азия, США",Киев,Программист,24-26,"Холост / не замужем, детей нет"
